Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Psalm 78:20	Behold, he smote the rock, that the waters gushed out, and the streams overflowed; can he give bread also? can he provide flesh for his people?
Acts 16:31	And they said, Believe on the Lord Jesus Christ, and you shall be saved, and your house.
Deuteronomy 5:6	I am the LORD your God, which brought you out of the land of Egypt, from the house of bondage.
Joshua 15:23	And Kedesh, and Hazor, and Ithnan,
Judges 7:13	And when Gideon was come, behold, there was a man that told a dream to his fellow, and said, Behold, I dreamed a dream, and, see, a cake of barley bread tumbled into the host of Midian, and came to a tent, and smote it that it fell, and overturned it, that the tent lay along.
Acts 15:7	And when there had been much disputing, Peter rose up, and said to them, Men and brothers, you know how that a good while ago God made choice among us, that the Gentiles by my mouth should hear the word of the gospel, and believe.
Joshua 15:49	And Dannah, and Kirjathsannah, which is Debir,
Matthew 5:3	Blessed are the poor in spirit: for theirs is the kingdom of heaven.
Isaiah 61:7	For your shame you shall have double; and for confusion they shall rejoice in their portion: therefore in their land they shall possess the double: everlasting joy shall be to them.
Numbers 3:31	And their charge shall be the ark, and the table, and the candlestick, and the altars, and the vessels of the sanctuary with which they minister, and the hanging, and all the service thereof.
Genesis 30:38	And he set the rods which he had pilled before the flocks in the gutters in the watering troughs when the flocks came to drink, that they should conceive when they came to drink.
Genesis 49:21	Naphtali is a hind let loose: he gives goodly words.
Exodus 38:18	And the hanging for the gate of the court was needlework, of blue, and purple, and scarlet, and fine twined linen: and twenty cubits was the length, and the height in the breadth was five cubits, answerable to the hangings of the court.
2 Kings 3:7	And he went and sent to Jehoshaphat the king of Judah, saying, The king of Moab has rebelled against me: will you go with me against Moab to battle? And he said, I will go up: I am as you are, my people as your people, and my horses as your horses.
Psalm 86:17	Show me a token for good; that they which hate me may see it, and be ashamed: because you, LORD, have helped me, and comforted me.
2 Kings 4:35	Then he returned, and walked in the house to and fro; and went up, and stretched himself on him: and the child sneezed seven times, and the child opened his eyes.
Proverbs 3:18	She is a tree of life to them that lay hold on her: and happy is every one that retains her.
Genesis 43:12	And take double money in your hand; and the money that was brought again in the mouth of your sacks, carry it again in your hand; peradventure it was an oversight:
Judges 5:2	Praise you the LORD for the avenging of Israel, when the people willingly offered themselves.
Genesis 45:28	And Israel said, It is enough; Joseph my son is yet alive: I will go and see him before I die.
Matthew 21:38	But when the farmers saw the son, they said among themselves, This is the heir; come, let us kill him, and let us seize on his inheritance.
Zechariah 8:7	Thus said the LORD of hosts; Behold, I will save my people from the east country, and from the west country;
Matthew 1:8	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
2 Kings 9:17	And there stood a watchman on the tower in Jezreel, and he spied the company of Jehu as he came, and said, I see a company. And Joram said, Take an horseman, and send to meet them, and let him say, Is it peace?
Esther 4:11	All the king’s servants, and the people of the king’s provinces, do know, that whoever, whether man or women, shall come to the king into the inner court, who is not called, there is one law of his to put him to death, except such to whom the king shall hold out the golden scepter, that he may live: but I have not been called to come in to the king these thirty days.
Isaiah 43:9	Let all the nations be gathered together, and let the people be assembled: who among them can declare this, and show us former things? let them bring forth their witnesses, that they may be justified: or let them hear, and say, It is truth.
Song of Solomon 2:12	The flowers appear on the earth; the time of the singing of birds is come, and the voice of the turtle is heard in our land;
Luke 9:35	And there came a voice out of the cloud, saying, This is my beloved Son: hear him.
John 12:18	For this cause the people also met him, for that they heard that he had done this miracle.
Proverbs 2:10	When wisdom enters into your heart, and knowledge is pleasant to your soul;
Exodus 3:5	And he said, Draw not near here: put off your shoes from off your feet, for the place where on you stand is holy ground.
Numbers 8:24	This is it that belongs to the Levites: from twenty and five years old and upward they shall go in to wait on the service of the tabernacle of the congregation:
Joshua 3:4	Yet there shall be a space between you and it, about two thousand cubits by measure: come not near to it, that you may know the way by which you must go: for you have not passed this way heretofore.
Genesis 41:35	And let them gather all the food of those good years that come, and lay up corn under the hand of Pharaoh, and let them keep food in the cities.
Daniel 7:26	But the judgment shall sit, and they shall take away his dominion, to consume and to destroy it to the end.
Genesis 26:30	And he made them a feast, and they did eat and drink.
Esther 5:2	And it was so, when the king saw Esther the queen standing in the court, that she obtained favor in his sight: and the king held out to Esther the golden scepter that was in his hand. So Esther drew near, and touched the top of the scepter.
Numbers 6:12	And he shall consecrate to the LORD the days of his separation, and shall bring a lamb of the first year for a trespass offering: but the days that were before shall be lost, because his separation was defiled.
James 2:15	If a brother or sister be naked, and destitute of daily food,
Genesis 6:1	And it came to pass, when men began to multiply on the face of the earth, and daughters were born to them,
Deuteronomy 3:5	All these cities were fenced with high walls, gates, and bars; beside unwalled towns a great many.
2 Samuel 11:3	And David sent and inquired after the woman. And one said, Is not this Bathsheba, the daughter of Eliam, the wife of Uriah the Hittite?
1 Samuel 19:1	And Saul spoke to Jonathan his son, and to all his servants, that they should kill David.
Numbers 24:13	If Balak would give me his house full of silver and gold, I cannot go beyond the commandment of the LORD, to do either good or bad of my own mind; but what the LORD said, that will I speak?
Joshua 10:24	And it came to pass, when they brought out those kings to Joshua, that Joshua called for all the men of Israel, and said to the captains of the men of war which went with him, Come near, put your feet on the necks of these kings. And they came near, and put their feet on the necks of them.
Romans 9:3	For I could wish that myself were accursed from Christ for my brothers, my kinsmen according to the flesh:
Numbers 33:21	And they removed from Libnah, and pitched at Rissah.
Genesis 24:31	And he said, Come in, you blessed of the LORD; why stand you without? for I have prepared the house, and room for the camels.
